OP,FECHA DE INGRESO,ESTILO,DESCRIPCIÓN,COLOR,VISTAS/BIES/CONTRASTES,TALLA,ESTILO-TALLA,BORDADO,CANTIDAD,FECHA ENTREGA,sah unitario,HORAS,LINEA,PLANTA,FOLEO,HABILITACION,ENSAMBLE,TERMINADO,EMPAQUE,PRIORIDAD,C.T.,TELA,estilo 2,metros a tender,FECHA CORTE,BIES,HABILITACION,,PORCENTAJE DE TELA,
8779,13/12/2022,A103-001,PANT MUJER,BLANCO,,XS,A103-001-XS,,192,13/01/2023,0.2791,54,MPUA10,PANT,,,,,,,M3109,TTR-WHIT,A103,245.76,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8780,13/12/2022,A103-421,PANT MUJER,AVENTURINI,,M,A103-421-M,,96,13/01/2023,0.2791,27,MPUA10,PANT,,,,,,,M3110,TTR-19-5421TCX AVENTURINE,A103,122.88,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8781,13/12/2022,A103-421,PANT MUJER,AVENTURINI,,S,A103-421-S,,96,13/01/2023,0.2791,27,MPUA10,PANT,,,,,,,M3110,TTR-19-5421TCX AVENTURINE,A103,122.88,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8782,13/12/2022,A103-421,PANT MUJER,AVENTURINI,,XS,A103-421-XS,,72,13/01/2023,0.2791,20,MPUA10,PANT,,,,,,,M3110,TTR-19-5421TCX AVENTURINE,A103,92.16,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8783,13/12/2022,AH101-001,PANT HOMBRE,BLANCO,,S,AH101-001-S,,96,13/01/2023,0.375,36,MPUA10,PANT,,,,,,,M3111,TTR-WHIT,AH101,149.0832,15/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
,,,,,,,,,2400,,5.7824,764,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Semana 54,SEMANA 7 5B 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8784,19/12/2022,A005-001,TOP MUJER,BLANCO,,S,A005-001-S,,72,20/01/2023,0.347,25,MPUA10,TOP,,,,,,,M3112,TTR-WHIT,A005,75.05316,20/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8785,19/12/2022,A005-001,TOP MUJER,BLANCO,,XS,A005-001-XS,,72,20/01/2023,0.347,25,MPUA10,TOP,,,,,,,M3112,TTR-WHIT,A005,75.05316,20/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8786,19/12/2022,A005-570,TOP MUJER,NEGRO,,S,A005-570-S,,168,20/01/2023,0.347,58,MPUA10,TOP,,,,,,,M3113,TTR-19-570TCX-BLACK,A005,175.12404,20/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8787,19/12/2022,A005-570,TOP MUJER,NEGRO,,XL,A005-570-XL,,24,20/01/2023,0.347,8,MPUA10,TOP,,,,,,,M3113,TTR-19-570TCX-BLACK,A005,25.01772,20/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
8788,19/12/2022,RF009-316,TOP DAMA,BREEZE,,S,RF009-316-S,,96,20/01/2023,0.3,29,MPUA10,TOP,,,,,,,M3114,TTR-OLIVE-C#3,RF009,85.44,21/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8789,19/12/2022,RF009-518,TOP DAMA,AIR,,L,RF009-518-L,,72,20/01/2023,0.3,22,MPUA10,TOP,,,,,,,M3115,TTR-ROSSETTE-C#1,RF009,64.08,21/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8790,19/12/2022,RF009-518,TOP DAMA,AIR,,M,RF009-518-M,,144,20/01/2023,0.3,43,MPUA10,TOP,,,,,,,M3115,TTR-ROSSETTE-C#1,RF009,128.16,21/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8791,19/12/2022,RF009-900,TOP DAMA,STORM,,L,RF009-900-L,,48,20/01/2023,0.3,14,MPUA10,TOP,,,,,,,M3116,TTR-GARY-C#4,RF009,42.72,20/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8792,19/12/2022,RF009-900,TOP DAMA,STORM,,M,RF009-900-M,,96,20/01/2023,0.3,29,MPUA10,TOP,,,,,,,M3116,TTR-GARY-C#4,RF009,85.44,20/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8793,19/12/2022,RF105-316,PANTALON DE DAMA,BREEZE,,M,RF105-316-M,,72,20/01/2023,0.405,29,MPUA10,PANT,,,,,,,M3117,TTR-OLIVE-C#3,RF105,79.2,21/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8794,19/12/2022,RF105-518,PANTALON DE DAMA,AIR,,L,RF105-518-L,,48,20/01/2023,0.405,19,MPUA10,PANT,,,,,,,M3118,TTR-ROSSETTE-C#1,RF105,52.8,21/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8795,19/12/2022,RF105-532,PANTALON DE DAMA,TORNADO,,M,RF105-532-M,,144,20/01/2023,0.405,58,MPUA10,PANT,,,,,,,M3119,TTR-SUN-DRIED TOMATO-C#2,RF105,158.4,20/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8796,19/12/2022,RF105-532,PANTALON DE DAMA,TORNADO,,S,RF105-532-S,,120,20/01/2023,0.405,49,MPUA10,PANT,,,,,,,M3119,TTR-SUN-DRIED TOMATO-C#2,RF105,132,20/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8797,19/12/2022,RF105-900,PANTALON DE DAMA,STORM,,M,RF105-900-M,,72,20/01/2023,0.405,29,MPUA10,PANT,,,,,,,M3120,TTR-GARY-C#4,RF105,79.2,20/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8798,19/12/2022,RF106P-316,PANTALON DE DAMA,BREEZE,,S,RF106P-316-S,,48,20/01/2023,0.3958,19,MPUA10,PANT,,,,,,,M3121,TTR-OLIVE-C#3,RF106P,48,21/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8799,19/12/2022,RF106P-532,PANTALON DE DAMA,TORNADO,,S,RF106P-532-S,,48,20/01/2023,0.3958,19,MPUA10,PANT,,,,,,,M3122,TTR-SUN-DRIED TOMATO-C#2,RF106P,48,20/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8800,19/12/2022,RF106R-518,PAN MUJER,AIR,,S,RF106R-518-S,,96,20/01/2023,0.3958,38,MPUA10,PANT,,,,,,,M3123,TTR-ROSSETTE-C#1,RF106R,96,21/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8801,19/12/2022,RF106R-532,PANTALON DE DAMA,TORNADO,,M,RF106R-532-M,,96,20/01/2023,0.3958,38,MPUA10,PANT,,,,,,,M3124,TTR-SUN-DRIED TOMATO-C#2,RF106R,96,20/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8802,19/12/2022,RF106R-900,PANTALON DE DAMA,STORM,,L,RF106R-900-L,,24,20/01/2023,0.3958,9,MPUA10,PANT,,,,,,,M3125,TTR-GARY-C#4,RF106R,24,20/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8803,19/12/2022,RF106R-900,PANTALON DE DAMA,STORM,,M,RF106R-900-M,,48,20/01/2023,0.3958,19,MPUA10,PANT,,,,,,,M3125,TTR-GARY-C#4,RF106R,48,20/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8804,19/12/2022,RF106R-900,PANTALON DE DAMA,STORM,,S,RF106R-900-S,,48,20/01/2023,0.3958,19,MPUA10,PANT,,,,,,,M3125,TTR-GARY-C#4,RF106R,48,20/12/22,,OK,,77% poliester 18% rayon 5% spandex ,
8805,19/12/2022,E202-001,BATA MUJER,BLANCO,,L,E202-001-L,,72,20/01/2023,0.4908,35,MPUE20,BATA,,,,,,,M3126,T/C-WHITE,E202,126.4284,20/12/22,,OK,,65% poliester 32% algodon 3% spandex ,
8806,19/12/2022,E202-001,BATA MUJER,BLANCO,,M,E202-001-M,,96,20/01/2023,0.4908,47,MPUE20,BATA,,,,,,,M3126,T/C-WHITE,E202,168.5712,20/12/22,,OK,,65% poliester 32% algodon 3% spandex ,
8807,19/12/2022,E203-001,BATA MUJER,BLANCO,,L,E203-001-L,,48,20/01/2023,0.2492,12,MPUE20,BATA,,,,,,,M3127,T/C-WHITE,E203,84.2856,20/12/22,,OK,,65% poliester 32% algodon 3% spandex ,
8808,19/12/2022,E203-001,BATA MUJER,BLANCO,,M,E203-001-M,,48,20/01/2023,0.2492,12,MPUE20,BATA,,,,,,,M3127,T/C-WHITE,E203,84.2856,20/12/22,,OK,,65% poliester 32% algodon 3% spandex ,
8809,19/12/2022,E203-001,BATA MUJER,BLANCO,,XL,E203-001-XL,,24,20/01/2023,0.2492,6,MPUE20,BATA,,,,,,,M3127,T/C-WHITE,E203,42.1428,20/12/22,,OK,,65% poliester 32% algodon 3% spandex ,
,,,,,,,,,1944,,9.4128,712,,,,,,,,,,,,,,,,,,
,PEDIDO ESPECIAL HOSPITAL GUADALUPANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8810,19/12/2022,A005-001,TOP MUJER,BLANCO,,L,A005-001-L,,7,20/01/2023,0.347,2,MPUA10,TOP,,,,,,,M3128,TTR-WHIT,A005,7.296835,20/12/22,,OK,,74% poliester 20% rayon 6% spandex ,
,,,,,,,,,1951,,9.7598,714,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Semana 1 1B 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8811,02/01/2023,A005-001,TOP MUJER,BLANCO,,L,A005-001-L,,48,27/01/2023,0.347,17,MPUA10,TOP,,,,,,,M3129,TTR-WHIT,A005,50.03544,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8812,02/01/2023,A005-570,TOP MUJER,NEGRO,,L,A005-570-L,,72,27/01/2023,0.347,25,MPUA10,TOP,,,,,,,M3130,TTR-19-570TCX-BLACK,A005,75.05316,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8813,02/01/2023,A005-570,TOP MUJER,NEGRO,,M,A005-570-M,,168,27/01/2023,0.347,58,MPUA10,TOP,,,,,,,M3130,TTR-19-570TCX-BLACK,A005,175.12404,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8814,02/01/2023,A005-570,TOP MUJER,NEGRO,,XS,A005-570-XS,,120,27/01/2023,0.347,42,MPUA10,TOP,,,,,,,M3130,TTR-19-570TCX-BLACK,A005,125.0886,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8815,02/01/2023,A005-570,TOP MUJER,NEGRO,,XXL,A005-570-XXL,,24,27/01/2023,0.347,8,MPUA10,TOP,,,,,,,M3130,TTR-19-570TCX-BLACK,A005,25.01772,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8816,02/01/2023,A006-027,TOP MUJER ,NAVAL,,L,A006-027-L,,120,27/01/2023,0.4658,56,MPUA10,TOP,,,,,,,M3131,TTR-19-4027TCX-MEDIEVAL,A006,117.6,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8817,02/01/2023,A006-027,TOP MUJER ,NAVAL,,XL,A006-027-XL,,48,27/01/2023,0.4658,22,MPUA10,TOP,,,,,,,M3131,TTR-19-4027TCX-MEDIEVAL,A006,47.04,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8818,02/01/2023,A006-027,TOP MUJER ,NAVAL,,XXL,A006-027-XXL,,24,27/01/2023,0.4658,11,MPUA10,TOP,,,,,,,M3131,TTR-19-4027TCX-MEDIEVAL,A006,23.52,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8819,02/01/2023,A006-570,TOP MUJER,NEGRO,,L,A006-570-L,,24,27/01/2023,0.4658,11,MPUA10,TOP,,,,,,,M3132,TTR-19-570TCX-BLACK,A006,23.52,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8820,02/01/2023,A006-570,TOP MUJER,NEGRO,,M,A006-570-M,,48,27/01/2023,0.4658,22,MPUA10,TOP,,,,,,,M3132,TTR-19-570TCX-BLACK,A006,47.04,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8821,02/01/2023,A006-570,TOP MUJER,NEGRO,,S,A006-570-S,,24,27/01/2023,0.4658,11,MPUA10,TOP,,,,,,,M3132,TTR-19-570TCX-BLACK,A006,23.52,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8822,02/01/2023,A006-570,TOP MUJER,NEGRO,,XS,A006-570-XS,,24,27/01/2023,0.4658,11,MPUA10,TOP,,,,,,,M3132,TTR-19-570TCX-BLACK,A006,23.52,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8823,02/01/2023,A401-027,CHAM MUJER,NAVAL,,L,A401-027-L,,24,27/01/2023,0.256,6,MPUA10,TOP,,,,,,,M3133,TTR-19-4027TCX-MEDIEVAL,A401,31.9116,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8824,02/01/2023,A401-027,CHAM MUJER,NAVAL,,XS,A401-027-XS,,48,27/01/2023,0.256,12,MPUA10,TOP,,,,,,,M3133,TTR-19-4027TCX-MEDIEVAL,A401,63.8232,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8825,02/01/2023,A401-570,CHAM MUJER,NEGRO,,L,A401-570-L,,48,27/01/2023,0.256,12,MPUA10,TOP,,,,,,,M3134,TTR-19-570TCX-BLACK,A401,63.8232,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8826,02/01/2023,A401-570,CHAM MUJER,NEGRO,,S,A401-570-S,,24,27/01/2023,0.256,6,MPUA10,TOP,,,,,,,M3134,TTR-19-570TCX-BLACK,A401,31.9116,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8827,02/01/2023,AGU001-027,GORRITOS,NAVAL,,L,AGU001-027-L,,24,27/01/2023,0.085,2,MPUA10,TOP,,,,,,,M3135,TTR-19-4027TCX-MEDIEVAL,AGU001,2.64,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8828,02/01/2023,AH001-027,TOP HOMBRE,NAVAL,,L,AH001-027-L,,120,27/01/2023,0.2283,27,MPUA10,TOP,,,,,,,M3136,TTR-19-4027TCX-MEDIEVAL,AH001,118.146,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8829,02/01/2023,AH001-027,TOP HOMBRE,NAVAL,,M,AH001-027-M,,120,27/01/2023,0.2283,27,MPUA10,TOP,,,,,,,M3136,TTR-19-4027TCX-MEDIEVAL,AH001,118.146,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8830,02/01/2023,AH001-027,TOP HOMBRE,NAVAL,,XXL,AH001-027-XXL,,24,27/01/2023,0.2283,5,MPUA10,TOP,,,,,,,M3136,TTR-19-4027TCX-MEDIEVAL,AH001,23.6292,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8831,02/01/2023,AH001-4045,TOP HOMBRE,OCEANO,,L,AH001-4045-L,,24,27/01/2023,0.2283,5,MPUA10,TOP,,,,,,,M3137,TTR-19-4045TCX-LAPIS BLUE,AH001,23.6292,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8832,02/01/2023,AH001-4045,TOP HOMBRE,OCEANO,,M,AH001-4045-M,,48,27/01/2023,0.2283,11,MPUA10,TOP,,,,,,,M3137,TTR-19-4045TCX-LAPIS BLUE,AH001,47.2584,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8833,02/01/2023,AH001-4045,TOP HOMBRE,OCEANO,,XL,AH001-4045-XL,,24,27/01/2023,0.2283,5,MPUA10,TOP,,,,,,,M3137,TTR-19-4045TCX-LAPIS BLUE,AH001,23.6292,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8834,02/01/2023,AH001-421,TOP HOMBRE,AVENTURINI,,XL,AH001-421-XL,,24,27/01/2023,0.2283,5,MPUA10,TOP,,,,,,,M3138,TTR-19-5421TCX AVENTURINE,AH001,23.6292,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8835,02/01/2023,AH401-027,CHAM HOMBRE,NAVAL,,M,AH401-027-M,,24,27/01/2023,0.233,6,MPUA10,TOP,,,,,,,M3139,TTR-19-4027TCX-MEDIEVAL,AH401,35.0784,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
8836,02/01/2023,AH401-027,CHAM HOMBRE,NAVAL,,S,AH401-027-S,,24,27/01/2023,0.233,6,MPUA10,TOP,,,,,,,M3139,TTR-19-4027TCX-MEDIEVAL,AH401,35.0784,4/01/23,,OK,,74% poliester 20% rayon 6% spandex ,
