NÚMERO DE PARTE,CODIGO SOPORTE METROLOGY,DESCRIPCIÓN,MARCA,MODELO,CLASIFICACIÓN,UBICACIÓN EN ALMACÉN,CÓDIGO INTERNO DE SUBLOCALIZACIÓN EN ALMACÉN,ORIGEN: (SI LLEGA POR PROVEEDOR O USADO POR EMPRESA),DATOS DE ORIGEN:,TIPO DE PRODUCTO:(DEJARLO GENERAL PARA TODAS LAS REFACCIONES),COSTO UNITARIO,PRECIO DE VENTA,MONEDA,UNIDAD DE MEDIDA,MINIMO EN STOCK,MAXIMOS
A-5003-0061,Palpador M3 bola de rubí 4x50mm SM-5003-0061,"Bola de rubí M3 de Ø4 mm, vástago de carburo de tungsteno, L 50 mm, LTU 46 mm",RENISHAW,A-5003-0061,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$37.10,$60.00,USD,PIEZA,3,5
A-5003-0073,Palpador Cilindrico esfera de rubí M2 Ø4 mm 22 mm SM-5003-0073,"Cilindro terminado en esfera de rubí M2 Ø4 mm, vástago de acero inoxidable, L 22 mm",RENISHAW,A-5003-0073,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$91.00,$120.00,USD,PIEZA,3,5
A-5003-0074,Palpador Cilindrico esfera de rubí M2 Ø2mm 40 mm SM-5003-0074,"Cilindro terminado en esfera de carburo de tungsteno M2 de Ø2 mm, vástago de carburo de tungsteno, L 40 mm",RENISHAW,A-5003-0074,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$60.90,$80.00,USD,PIEZA,3,5
A-5003-0076,"Palpador M3 de 5 vías, en estrella con bola de rubí de Ø2X 30 mm ","Palpador M3 de 5 vías, en estrella con bola de rubí de Ø2 mm, 30 mm de separación",RENISHAW,A-5003-0076,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$140.00,$185.00,USD,PIEZA,1,2
A-5003-0077,"Palpador M3 de 5 vías, en estrella con bola de rubí de Ø2x 50 mm ","Palpador M3 de 5 vías, en estrella con bola de rubí de Ø2 mm, 50 mm de separación",RENISHAW,A-5003-0077,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$140.00,$185.00,USD,PIEZA,1,2
A-5003-0577,Palpador M2 bola de rubí 7x20mm SM-5003-0577,"Bola de rubí M2 de Ø0,7 mm, vástago de carburo de tungsteno, L 20 mm, LTU 12 mm",RENISHAW,A-5003-0577,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$74.90,$110.00,USD,PIEZA,2,3
A-5003-1210,"Palpador Cilindrico en esfera de carburo de tungsteno M2 Ø0,5 x15,3 mm","Cilindro terminado en esfera de carburo de tungsteno M2 Ø0,5 mm, L 15,3 mm",RENISHAW,A-5003-1210,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$133.00,$175.00,USD,PIEZA,1,2
A-5003-1218,"Palpador Cilindrico terminado en esfera de carburo de tungsteno M2 de Ø1 x 35,5 mm","Cilindro terminado en esfera de carburo de tungsteno M2 de Ø1 mm, vástago de acero inoxidable, L 35,5 mm",RENISHAW,A-5003-1218,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$112.00,$145.00,USD,PIEZA,1,2
A-5003-1219,"Palpador Cilindrico terminado en esfera de carburo de tungsteno M2 de Ø1,5 x 15,8 mm","Cilindro terminado en esfera de carburo de tungsteno M2 de Ø1,5 mm, vástago de acero inoxidable, L 15,8 mm",RENISHAW,A-5003-1219,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$59.65,$85.00,USD,PIEZA,1,2
A-5003-1345,Palpador M2 bola de rubí 5x20mm SM-5003-1345,"Bola de rubí M2 de Ø0,5 mm, vástago de carburo de tungsteno, L 20 mm, LTU 7 mm",RENISHAW,A-5003-1345,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$73.50,$110.00,USD,PIEZA,5,10
A-5003-2932,Palpador M4 bola de rubí 2x20mm SM-5003-2932,"Bola de rubí M4 de Ø2 mm, vástago de carburo de tungsteno, L 20 mm, LTU 10 mm",RENISHAW,A-5003-2932,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$60.20,$80.00,USD,PIEZA,2,2
A-5003-4177,Palpador M2 bola de rubí 3x30mm SM-5003-4177,"Bola de rubí M2 de Ø3 mm, vástago de cerámica, L 30 mm, LTU 27 mm",RENISHAW,A-5003-4177,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$58.80,$80.00,USD,PIEZA,2,3
A-5003-4782,Palpador M2 bola de rubí 6x30mm SM-5003-4782,"Bola de rubí M2 de Ø6 mm, vástago de fibra de carbono, L 30 mm, LTU 30 mm",RENISHAW,A-5003-4782,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$76.30,$110.00,USD,PIEZA,1,1
A-5003-4791,Palpador M2 bola de rubí 1x18.5mm SM-5003-4791,"Centro de palpadores en estrella con bola de rubí M2 Ø1 mm, vástago de carburo de tungsteno, L 18,5 mm",RENISHAW,A-5003-4791,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$87.50,$115.00,USD,PIEZA,2,2
A-5003-4793,Palpador M4 bola de rubí 3x20mm SM-5003-479,"Bola de rubí M4 de Ø3 mm, vástago de carburo de tungsteno, L 20 mm, LTU 8,5 mm",RENISHAW,A-5003-4793,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$60.20,$80.00,USD,PIEZA,2,3
A-5003-4796,Palpador M4 bola de rubí 6x20mm SM-5003-4796,"Bola de rubí M4 de Ø6 mm, vástago de carburo de tungsteno, L 20 mm, LTU 10,7 mm",RENISHAW,A-5003-4796,PALPADORES,CENTRO DE PALPADORES  Y EXTENSIONES ,NA,PROVEEDOR,RENISHAW,GENERAL ,$64.40,$85.00,USD,PIEZA,2,3
