,,,,, ,,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NÚMERO DE PARTE,CODIGO SOPORTE METROLOGY,DESCRIPCIÓN,MARCA,MODELO,CLASIFICACIÓN,UBICACIÓN EN ALMACÉN,SUBLOCALIZACIÓN,ORIGEN: (SI LLEGA POR PROVEEDOR O USADO POR EMPRESA),DATOS DE ORIGEN:,ROSCA,DIAMETRO,LARGO,LTU,MATERIAL,MATERIAL DE PUNTA,COSTO UNITARIO,PRECIO DE VENTA,MONEDA,UNIDAD DE MEDIDA,MINIMO EN STOCK,MAXIMOS,
NA,PATIN COJINETE DE AIRE 50X30 MM,FLAT ROUND AIR BEARINGS 50X30 mm ,ACCURATE,50x30,PATINES,E5,PT-005,PROVEEDOR,ACCURATE,NA,NA,NA,NA,NA,NA,$140.00,$700.00,USD,PIEZA,2,3,
NA,PATIN COJINETE DE AIRE 60X25 MM,FLAT ROUND AIR BEARINGS 60X25 mm ,ACCURATE,60x25,PATINES,E5,PT-006,PROVEEDOR,ACCURATE,NA,NA,NA,NA,NA,NA,$140.00,$700.00,USD,PIEZA,2,3,
NA,PATIN COJINETE DE AIRE 60X30 MM,FLAT ROUND AIR BEARINGS 60X30 mm ,ACCURATE,60x30,PATINES,E5,PT-007,PROVEEDOR,ACCURATE,NA,NA,NA,NA,NA,NA,$140.00,$700.00,USD,PIEZA,2,3,
NA,PATIN COJINETE DE AIRE 70X35 MM,FLAT ROUND AIR BEARINGS 70X35 mm ,ACCURATE,70x35,PATINES,E5,PT-008,PROVEEDOR,ACCURATE,NA,NA,NA,NA,NA,NA,$200.00,$700.00,USD,PIEZA,2,3,
NA,PATIN COJINETE DE AIRE 80X35 MM,FLAT ROUND AIR BEARINGS 80X35 mm ,ACCURATE,80x35,PATINES,E5,PT-009,PROVEEDOR,ACCURATE,NA,NA,NA,NA,NA,NA,$200.00,$700.00,USD,PIEZA,2,3,
NA,PATIN COJINETE DE AIRE 90X35 MM,FLAT ROUND AIR BEARINGS 90X35 mm ,ACCURATE,90x35,PATINES,E5,PT-010,PROVEEDOR,ACCURATE,NA,NA,NA,NA,NA,NA,$200.00,$700.00,USD,PIEZA,2,3,
WF10200P06000,PATIN REDONDO/ COJINETE DE AIRE 80X22,FLAT ROUND AIR BEARINGS | HPC2.6 | D080X22.0,MAGER AIR BEARING,80x22,PATINES,E5,PT-011,PROVEEDOR,MAGER AIR BEARING,NA,NA,NA,NA,NA,NA,$200.00,$800.00,USD,PIEZA,3,3,
WF10100104000,PATIN RECTANGULAR/ COJINETE DE AIRE  155X80X25,RECTANGULAR AIR BEARINGS 155X80X25,MAGER AIR BEARING,155x80x35,PATINES,E5,PT-012,PROVEEDOR,MAGER AIR BEARING,NA,NA,NA,NA,NA,NA,$200.00,$950.00,USD,PIEZA,2,3,
WF101R0157000,PATIN RECTANGULAR/ COJINETE DE AIRE 30X68X12,RECTANGULAR AIR BEARINGS 30X68X12,MAGER AIR BEARING,30x68x12,PATINES,E4,PT-013,PROVEEDOR,MAGER AIR BEARING,NA,NA,NA,NA,NA,NA,$200.00,$950.00,USD,PIEZA,2,10,
WF101R0314000,PATIN RECTANGULAR/ COJINETE DE AIRE GRIS OSCURO 50.8X75X14.5,RECTANGULAR AIR BEARINGS 50.8X75X14.5 / COLOR GRIS OBSCURO,MAGER AIR BEARING,50.8x75x14.5,PATINES,E4,PT-014,PROVEEDOR,MAGER AIR BEARING,NA,NA,NA,NA,NA,NA,$200.00,$950.00,USD,PIEZA,2,3,
WF10100312000,PATIN RECTANGULAR/ COJINETE DE AIRE NEGRO 60X100X19,RECTANGULAR AIR BEARINGS DEA GLOBAL-2H 60X100X19 / COLOR NEGRO,MAGER AIR BEARING,60x100x19,PATINES,E4,PT-015,PROVEEDOR,MAGER AIR BEARING,NA,NA,NA,NA,NA,NA,$200.00,$950.00,USD,PIEZA,3,5,
WF101R0101000,PATIN RECTANGULAR/ COJINETE DE AIRE 60X120X19,RECTANGULAR AIR BEARINGS DEA P2 60X120X19,MAGER AIR BEARING,60x120x19,PATINES,E4,PT-016,PROVEEDOR,MAGER AIR BEARING,NA,NA,NA,NA,NA,NA,$200.00,$950.00,USD,PIEZA,3,5,
WF101R0158000,PATIN RECTANGULAR/ COJINETE DE AIRE 40X80X12,RECTANGULAR AIR BEARINGS R3 SF/P 40X80X12,MAGER AIR BEARING,40x80x12,PATINES,E4,PT-017,PROVEEDOR,MAGER AIR BEARING,NA,NA,NA,NA,NA,NA,$200.00,$950.00,USD,PIEZA,2,8,
WF101R0159000,PATIN RECTANGULAR/ COJINETE DE AIRE 90X50X14,RECTANGULAR AIR BEARINGS R34 SF/P 90X50X14 NUEVOS,MAGER AIR BEARING,90x50x14,PATINES,E4,PT-018,PROVEEDOR,MAGER AIR BEARING,NA,NA,NA,NA,NA,NA,$200.00,$950.00,USD,PIEZA,3,8,
NA,PATIN RECTANGULAR/ COJINETE DE AIRE 140X70X25,RECTANGULAR AIR BEARINGS 140X70X25 / COLOR NEGRO,TORINO MAGER ITALY,140x70x25,PATINES,E5,PT-019,PROVEEDOR,MAGER AIR BEARING,NA,NA,NA,NA,NA,NA,$200.00,$950.00,USD,PIEZA,1,1,
NA,PATIN RECTANGULAR/ COJINETE DE AIRE 154X79X25,RECTANGULAR AIR BEARINGS 154X79X25,TORINO MAGER ITALY,154x79x25,PATINES,E5,PT-020,PROVEEDOR,MAGER AIR BEARING,NA,NA,NA,NA,NA,NA,$200.00,$950.00,USD,PIEZA,1,1,
NA,PATIN RECTANGULAR/ COJINETE DE AIRE 95X45X14 ,RECTANGULAR AIR BEARINGS 95X45X14 REPARADOS,TORINO MAGER ITALY,95x45x14,PATINES,E5,PT-021,PROVEEDOR,MAGER AIR BEARING,NA,NA,NA,NA,NA,NA,$200.00,$950.00,USD,PIEZA,3,9,
,,,,,,,,,,,,,,,,,,,,,,
NÚMERO DE PARTE,CODIGO SOPORTE METROLOGY,DESCRIPCIÓN,MARCA,MODELO,CLASIFICACIÓN,UBICACIÓN EN ALMACÉN,SUBLOCALIZACIÓN,ORIGEN: (SI LLEGA POR PROVEEDOR O USADO POR EMPRESA),DATOS DE ORIGEN:,ROSCA,DIAMETRO,LARGO,LTU,MATERIAL,MATERIAL DE PUNTA,COSTO UNITARIO,PRECIO DE VENTA,MONEDA,UNIDAD DE MEDIDA,MINIMO EN STOCK,MAXIMOS,
NA,BOTON PARA CONTROLADOR PANTEC,BOTON ON/OFF CONTROLADOR PANTEC,PANTEC,CONTROLADOR PANTEC,CONTROLADORES,E3,CL-001,PROVEEDOR,PANTEC,NA,NA,NA,NA,NA,NA,NA,NA,USD,PIEZA,1,1,
34606,CONTROLADOR PANTEC EAGLE PRO 3 ,"CONTROLLER PANTEC EAGLE pro/3, 115VAC",PANTEC,PRO/3,CONTROLADORES,F1/F5,CL-002,PROVEEDOR,PANTEC,NA,NA,NA,NA,NA,NA,"$5,907.00","$10,500.00",USD,PIEZA,2,4,
34612,CONTROLADOR PANTEC EAGLE PRO4 HP ,"CONTROLLER EAGLE pro/4 HP 130VDC, 115VAC ",PANTEC,PRO/4,CONTROLADORES,F1/F5,CL-003,PROVEEDOR,PANTEC,NA,NA,NA,NA,NA,NA,"$10,192.00","$14,000.00",USD,PIEZA,1,1,
PHC10-2,CONTROLADOR PARA CABEZAL RENISHAW PHC10-2,PHC10-2 PROBE HEAD CONTROLLER,RENISHAW,PHC10-2,CONTROLADORES,ESPECIAL ,CL-004,PROVEEDOR,RENISHAW,NA,NA,NA,NA,NA,NA,"$2,707.00","$3,750.00",USD,PIEZA,1,2,
A-5863-0100-05,CONTROLADOR PARA CABEZAL RENISHAW PHC10-3,PHC10-3 PLUS PROBE HEAD CONTROLLER,RENISHAW,PHC10-3 PLUS,CONTROLADORES,F1/F5,CL-005,PROVEEDOR,RENISHAW,NA,NA,NA,NA,NA,NA,"$3,107.00","$4,750.00",USD,PIEZA,2,4,
PI4-2,INTERFAZ RENISHAW PI4-2,PROBE INTERFACE PI4-2 ,RENISHAW,PI4-2,CONTROLADORES,E2,CL-006,PROVEEDOR,RENISHAW,NA,NA,NA,NA,NA,NA,NA,NA,USD,PIEZA,1,1,
,,,,,,,,,,,,,,,,,,,,,,
NÚMERO DE PARTE,CODIGO SOPORTE METROLOGY,DESCRIPCIÓN,MARCA,MODELO,CLASIFICACIÓN,UBICACIÓN EN ALMACÉN,SUBLOCALIZACIÓN,ORIGEN: (SI LLEGA POR PROVEEDOR O USADO POR EMPRESA),DATOS DE ORIGEN:,ROSCA,DIAMETRO,LARGO,LTU,MATERIAL,MATERIAL DE PUNTA,COSTO UNITARIO,PRECIO DE VENTA,MONEDA,UNIDAD DE MEDIDA,MINIMO EN STOCK,MAXIMOS,
