CLASIFICACIÓN ,DESCRIPCIÓN,CODIGO,MARCA,PROVEEDOR,N° PARTE,MODELO,COSTO UNITARIO,MONEDA,COSTO DE VENTAS,MONEDA
CONECTORES,COMPONENTES DE CABLE SUBMINIATURA D | CARCAZAS DB9,1,MOUSER ELECTRONICS,MOUSER ELECTRONICS,649-8655MH0911LF,8655MH0911LF,$10.02,USD,,
CONECTORES,COMPONENTES DE CABLE SUBMINIATURA D | CARCAZAS DB15,2,MOUSER ELECTRONICS,MOUSER ELECTRONICS,649-8655MH1511LF,8655MH1511LF,$10.26,USD,,
CONECTORES,COMPONENTES DE CABLE SUBMINIATURA D | CARCAZAS DB25,3,MOUSER ELECTRONICS,MOUSER ELECTRONICS,649-8655MH2511LF,8655MH2511LF,$11.53,USD,,
CONECTORES,CONECTORES DE CONTACTO COMBINADOS SUBMINIATURA D | CONECTORES PARA MOTORES,4,MOUSER ELECTRONICS,MOUSER ELECTRONICS,649-DA7W2PA00LF,DA7W2PA00LF,$6.10,USD,,
CONECTORES,CONECTORES ESTÁNDAR SUBMINIATURA D | DB9 MACHO,5,MOUSER ELECTRONICS,MOUSER ELECTRONICS,523-L777SDE09P,L777SDE09P,$1.17,USD,,
CONECTORES,CONECTORES ESTÁNDAR SUBMINIATURA D | DB15 MACHO,6,MOUSER ELECTRONICS,MOUSER ELECTRONICS,523-L777SDA15P,L777SDA15P,$2.56,USD,,
CONECTORES,CONECTORES ESTÁNDAR SUBMINIATURA D | DB25 MACHO,7,MOUSER ELECTRONICS,MOUSER ELECTRONICS,523-L777SDB25P,L777SDB25P,$3.30,USD,,
CONECTORES,CONECTORES ESTÁNDAR SUBMINIATURA D | DB9 HEMBRA,8,MOUSER ELECTRONICS,MOUSER ELECTRONICS,523-L177SDE09S,L177SDE09S,$1.11,USD,,
CONECTORES,CONECTORES ESTÁNDAR SUBMINIATURA D | DB15 HEMBRA,9,MOUSER ELECTRONICS,MOUSER ELECTRONICS,523-L177SDA15S,L177SDA15S,$1.43,USD,,
CONECTORES,CONECTORES ESTÁNDAR SUBMINIATURA D | PINES PARA MOTOR,10,MOUSER ELECTRONICS,MOUSER ELECTRONICS,523-L17DM537451,L17DM537451,$3.72,USD,,
CONECTORES,CONECTORES ESTÁNDAR SUBMINIATURA D | 5 DIN MACHO,11,MOUSER ELECTRONICS,MOUSER ELECTRONICS,568-NYS322,NYS322,$2.05,USD,,
CONECTORES,CONECTORES DE ALTA DENSIDAD SUBMINIATURA D | DB44 MACHO,12,MOUSER ELECTRONICS,MOUSER ELECTRONICS,706-163A16619X,163A16619X,,,,
CONECTORES,TI MOTOR_/MOTION/IGNITION CONTROLLERS&DRIVERS ADVANCED PWM MOTOR,14,MOUSER ELECTRONICS,MOUSER ELECTRONICS,595-UC3638N,UC3638N,,,,
CONECTORES,SOCKET FAU 5X20,15,MOUSER ELECTRONICS,MOUSER ELECTRONICS,693-0031.3573,31.3573,,,,
CONECTORES,CONECTOR 5VDC,16,MOUSER ELECTRONICS,MOUSER ELECTRONICS,655-V23026A1001B201,V23026A1001B201,,,,
CONECTORES,CONECTORES ESTÁNDAR SUBMINIATURA D | DB25 HEMBRA,17,MOUSER ELECTRONICS,MOUSER ELECTRONICS,523-L77SDBH25S,L777SDB25P,,,,
CONECTORES,ALOJAMIENTOS DE CABLES Y CABECERA,18,MOUSER ELECTRONICS,MOUSER ELECTRONICS,798-DF11-14DP-2DSA08,DF11-14DP-2DSA,,,,
CONECTORES,POTENCIOMETROS B10K,-,-,-,B10K,10K,,,,
